"","zip","Entertainment ($000), 2017","% Black Population, 2017","% Asian Population, 2017","Social, recreation, health club membership ($000), 2017","Prescription drugs ($000), 2017","Healthcare ($000), 2017","suicides","city","state","latitude","longitude"
"72","92117",71492.7,2.2861,11.3003,4917,5699.9,99994.6,97,"San Diego","CA",32.823865,-117.19966
"73","95624",71433.4,8.6979,27.5059,5103.7,4957.8,96560.5,70,"Elk Grove","CA",38.421068,-121.36059
"74","92647",71269.2,1.4787,15.9298,5102.9,5298,97185.4,89,"Huntington Beach","CA",33.725167,-118.00509
"75","95035",71215.3,2.9322,64.8649,5315.3,4036.6,94184.5,56,"Milpitas","CA",37.436451,-121.89438
"76","95076",71069.5,0.8976,3.6703,4513.8,6096.4,104647.3,78,"Watsonville","CA",36.922902,-121.77224
"77","94114",70899.2,1.9104,12.0517,6197.7,4332.3,83348.6,55,"San Francisco","CA",37.758434,-122.43512
"78","92056",70863.3,3.9912,8.6418,4812.1,5869.9,100968.6,80,"Oceanside","CA",33.195354,-117.28232
"79","94117",70455.4,6.0208,12.5265,5729.3,4329.5,84719.2,47,"San Francisco","CA",37.770937,-122.44276
"80","95758",70266.1,13.5361,27.0426,4773,4859.5,95880,63,"Elk Grove","CA",38.406432,-121.43673
"81","94611",70247,8.4741,16.1801,5819.2,4650.9,87388.2,52,"Oakland","CA",37.827126,-122.22289
"82","92804",70237.5,3.4269,25.3857,4312.6,5606,104108.8,76,"Anaheim","CA",33.818165,-117.97304
"83","94553",69814.4,3.8149,9.9224,5080.8,5321.8,94628,70,"Martinez","CA",37.998912,-122.11501
"84","92064",69806.7,1.7927,12.1877,5555.1,4944,90512.5,70,"Poway","CA",32.973645,-117.03701
"85","94544",69537.4,10.5498,25.8843,4343.5,5236,100494.6,65,"Hayward","CA",37.633732,-122.06101
"86","94533",69439.2,17.2925,15.4591,4201.7,5582.8,100857.9,93,"Fairfield","CA",38.269582,-122.03701
"87","94025",69259,3.8797,13.5642,6035.6,4484.3,84410.4,43,"Menlo Park","CA",37.451688,-122.18385
"88","90275",69100.4,2.8412,30.9831,5925.6,4649.8,87413.2,60,"Rancho Palos Verdes","CA",33.758216,-118.36425
"89","92886",68951.3,1.3494,16.2751,5681.8,4745.4,87794.3,48,"Yorba Linda","CA",33.888062,-117.80407
"90","92122",68503.8,1.6872,35.2787,5010,4547.5,89987.8,59,"San Diego","CA",32.856447,-117.21143
"91","94015",68312.6,3.0474,64.2669,4737.5,4429.4,95411,47,"Daly City","CA",37.682583,-122.48209
"92","92708",68306,0.9401,37.2916,5056.7,4948.5,93640.6,67,"Fountain Valley","CA",33.708618,-117.95629
"93","90277",68280.5,2.0886,11.4219,5545,4675.2,85840.5,46,"Redondo Beach","CA",33.828815,-118.38322
"94","92691",68075.3,1.4163,9.5112,5314.2,4917.6,88911.6,56,"Mission Viejo","CA",33.611272,-117.66681
"95","93003",67942.1,1.6878,4.2017,4833.3,5492.1,93956.2,102,"Ventura","CA",34.268736,-119.2249
"96","91331",67898,3.425,5.4145,3887.4,6004.4,104178.6,63,"Pacoima","CA",34.254751,-118.42406
"97","94010",67842,0.97,27.1432,5777.7,4441.3,85332.5,55,"Burlingame","CA",37.574936,-122.36332
"98","91335",67781.4,4.0298,13.6909,4168.1,5683.1,100254.5,80,"Reseda","CA",34.200104,-118.54099
"99","90027",67774.9,3.2158,14.3137,4535.6,5347.9,95099.1,51,"Los Angeles","CA",34.111208,-118.28842
"100","90280",67573.3,1.0294,1.1021,3749.5,6127.5,104799.3,55,"South Gate","CA",33.944264,-118.1949
