"","year","zipcode","causes_of_death","count"
"467",2015,91807,"SUI",0
"468",2015,91810,"SUI",0
"469",2015,91886,"SUI",0
"470",2015,91901,"SUI",2
"471",2015,91902,"SUI",3
"472",2015,91903,"SUI",0
"473",2015,91905,"SUI",0
"474",2015,91906,"SUI",1
"475",2015,91910,"SUI",8
"476",2015,91911,"SUI",7
"477",2015,91912,"SUI",0
"478",2015,91913,"SUI",2
"479",2015,91914,"SUI",0
"480",2015,91915,"SUI",2
"481",2015,91916,"SUI",0
"482",2015,91917,"SUI",0
"483",2015,91927,"SUI",0
"484",2015,91931,"SUI",0
"485",2015,91932,"SUI",2
"486",2015,91933,"SUI",0
"487",2015,91934,"SUI",0
"488",2015,91935,"SUI",0
"489",2015,91941,"SUI",7
"490",2015,91942,"SUI",6
"491",2015,91945,"SUI",4
"492",2015,91948,"SUI",1
"493",2015,91950,"SUI",4
"494",2015,91952,"SUI",0
"495",2015,91955,"SUI",0
"496",2015,91962,"SUI",0
"497",2015,91963,"SUI",0
"498",2015,91971,"SUI",0
"499",2015,91976,"SUI",0
"500",2015,91977,"SUI",6
"501",2015,91978,"SUI",4
"502",2015,91980,"SUI",0
"503",2015,91997,"SUI",0
"504",2015,92003,"SUI",1
"505",2015,92004,"SUI",1
"506",2015,92005,"SUI",0
"507",2015,92007,"SUI",1
"508",2015,92008,"SUI",7
"509",2015,92009,"SUI",7
"510",2015,92010,"SUI",1
"511",2015,92011,"SUI",3
"512",2015,92013,"SUI",0
"513",2015,92014,"SUI",2
"514",2015,92018,"SUI",0
"515",2015,92019,"SUI",9
"516",2015,92020,"SUI",9
"517",2015,92021,"SUI",6
"518",2015,92022,"SUI",0
"519",2015,92024,"SUI",12
"520",2015,92025,"SUI",6
"521",2015,92026,"SUI",8
"522",2015,92027,"SUI",6
"523",2015,92028,"SUI",8
"524",2015,92029,"SUI",0
"525",2015,92036,"SUI",1
"526",2015,92037,"SUI",7
"527",2015,92040,"SUI",6
"528",2015,92041,"SUI",0
"529",2015,92044,"SUI",0
"530",2015,92045,"SUI",0
"531",2015,92048,"SUI",0
"532",2015,92050,"SUI",0
"533",2015,92051,"SUI",0
"534",2015,92052,"SUI",0
"535",2015,92054,"SUI",6
"536",2015,92055,"SUI",8
"537",2015,92056,"SUI",11
"538",2015,92057,"SUI",9
"539",2015,92058,"SUI",3
"540",2015,92059,"SUI",0
"541",2015,92060,"SUI",0
"542",2015,92061,"SUI",1
"543",2015,92064,"SUI",8
"544",2015,92065,"SUI",5
"545",2015,92066,"SUI",1
"546",2015,92067,"SUI",0
"547",2015,92068,"SUI",0
"548",2015,92069,"SUI",4
"549",2015,92070,"SUI",1
"550",2015,92071,"SUI",6
"551",2015,92075,"SUI",3
"552",2015,92078,"SUI",10
"553",2015,92081,"SUI",5
"554",2015,92082,"SUI",1
"555",2015,92083,"SUI",6
"556",2015,92084,"SUI",8
"557",2015,92085,"SUI",0
"558",2015,92086,"SUI",0
"559",2015,92087,"SUI",0
"560",2015,92088,"SUI",0
"561",2015,92089,"SUI",0
"562",2015,92091,"SUI",0
"563",2015,92101,"SUI",8
"564",2015,92102,"SUI",4
"565",2015,92103,"SUI",13
"566",2015,92104,"SUI",7
"567",2015,92105,"SUI",5
"568",2015,92106,"SUI",4
"569",2015,92107,"SUI",4
"570",2015,92108,"SUI",2
"571",2015,92109,"SUI",7
"572",2015,92110,"SUI",2
"573",2015,92111,"SUI",7
"574",2015,92113,"SUI",1
"575",2015,92114,"SUI",6
"576",2015,92115,"SUI",6
"577",2015,92116,"SUI",5
"578",2015,92117,"SUI",5
"579",2015,92118,"SUI",4
"580",2015,92119,"SUI",4
"581",2015,92120,"SUI",6
"582",2015,92121,"SUI",2
"583",2015,92122,"SUI",2
"584",2015,92123,"SUI",3
"585",2015,92124,"SUI",4
"586",2015,92126,"SUI",12
"587",2015,92127,"SUI",4
"588",2015,92128,"SUI",6
"589",2015,92129,"SUI",6
"590",2015,92130,"SUI",4
"591",2015,92131,"SUI",5
"592",2015,92134,"SUI",0
"593",2015,92135,"SUI",1
"594",2015,92136,"SUI",0
"595",2015,92139,"SUI",1
"596",2015,92140,"SUI",0
"597",2015,92145,"SUI",0
"598",2015,92147,"SUI",0
"599",2015,92153,"SUI",0
"600",2015,92154,"SUI",4
"601",2015,92155,"SUI",0
"602",2015,92161,"SUI",0
"603",2015,92170,"SUI",0
"604",2015,92173,"SUI",2
"605",2015,92179,"SUI",2
"606",2015,92201,"SUI",5
"607",2015,92202,"SUI",0
"608",2015,92203,"SUI",4
"609",2015,92204,"SUI",0
"610",2015,92207,"SUI",0
"611",2015,92210,"SUI",0
"612",2015,92211,"SUI",6
"613",2015,92217,"SUI",0
"614",2015,92219,"SUI",1
"615",2015,92220,"SUI",2
"616",2015,92221,"SUI",0
"617",2015,92223,"SUI",12
"618",2015,92225,"SUI",2
"619",2015,92226,"SUI",0
"620",2015,92227,"SUI",3
"621",2015,92230,"SUI",2
"622",2015,92231,"SUI",3
"623",2015,92233,"SUI",0
"624",2015,92234,"SUI",7
"625",2015,92235,"SUI",0
"626",2015,92236,"SUI",5
"627",2015,92239,"SUI",0
"628",2015,92240,"SUI",5
"629",2015,92241,"SUI",0
"630",2015,92242,"SUI",0
"631",2015,92243,"SUI",4
"632",2015,92245,"SUI",0
"633",2015,92246,"SUI",0
"634",2015,92249,"SUI",0
"635",2015,92250,"SUI",2
"636",2015,92251,"SUI",2
"637",2015,92252,"SUI",1
"638",2015,92253,"SUI",2
"639",2015,92254,"SUI",0
"640",2015,92255,"SUI",0
"641",2015,92256,"SUI",1
"642",2015,92257,"SUI",0
"643",2015,92258,"SUI",0
"644",2015,92259,"SUI",1
"645",2015,92260,"SUI",5
"646",2015,92261,"SUI",0
"647",2015,92262,"SUI",12
"648",2015,92263,"SUI",1
"649",2015,92264,"SUI",3
"650",2015,92266,"SUI",0
"651",2015,92267,"SUI",0
"652",2015,92268,"SUI",1
"653",2015,92270,"SUI",3
"654",2015,92272,"SUI",0
"655",2015,92273,"SUI",0
"656",2015,92274,"SUI",2
"657",2015,92275,"SUI",2
"658",2015,92276,"SUI",0
"659",2015,92277,"SUI",5
"660",2015,92278,"SUI",1
"661",2015,92280,"SUI",0
"662",2015,92281,"SUI",0
"663",2015,92282,"SUI",0
"664",2015,92283,"SUI",0
"665",2015,92284,"SUI",7
"666",2015,92285,"SUI",1
"667",2015,92286,"SUI",1
"668",2015,92291,"SUI",0
"669",2015,92301,"SUI",1
"670",2015,92305,"SUI",0
"671",2015,92306,"SUI",0
"672",2015,92307,"SUI",10
"673",2015,92308,"SUI",5
"674",2015,92309,"SUI",0
"675",2015,92310,"SUI",0
"676",2015,92311,"SUI",6
"677",2015,92312,"SUI",0
"678",2015,92313,"SUI",1
"679",2015,92314,"SUI",0
"680",2015,92315,"SUI",2
"681",2015,92316,"SUI",1
"682",2015,92317,"SUI",0
"683",2015,92318,"SUI",0
"684",2015,92320,"SUI",3
"685",2015,92321,"SUI",0
"686",2015,92322,"SUI",0
"687",2015,92323,"SUI",0
"688",2015,92324,"SUI",6
"689",2015,92325,"SUI",4
"690",2015,92326,"SUI",0
"691",2015,92327,"SUI",0
"692",2015,92329,"SUI",0
"693",2015,92331,"SUI",0
"694",2015,92333,"SUI",0
"695",2015,92334,"SUI",0
"696",2015,92335,"SUI",3
"697",2015,92336,"SUI",9
"698",2015,92337,"SUI",1
"699",2015,92339,"SUI",0
"700",2015,92340,"SUI",0
"701",2015,92341,"SUI",0
"702",2015,92342,"SUI",1
"703",2015,92343,"SUI",0
"704",2015,92344,"SUI",0
"705",2015,92345,"SUI",14
"706",2015,92346,"SUI",5
"707",2015,92347,"SUI",0
"708",2015,92348,"SUI",0
"709",2015,92350,"SUI",0
"710",2015,92352,"SUI",2
"711",2015,92354,"SUI",1
"712",2015,92355,"SUI",0
"713",2015,92356,"SUI",2
"714",2015,92357,"SUI",0
"715",2015,92358,"SUI",0
"716",2015,92359,"SUI",3
"717",2015,92360,"SUI",0
"718",2015,92362,"SUI",0
"719",2015,92363,"SUI",0
"720",2015,92364,"SUI",1
"721",2015,92365,"SUI",1
"722",2015,92367,"SUI",0
"723",2015,92368,"SUI",0
"724",2015,92369,"SUI",0
"725",2015,92370,"SUI",0
"726",2015,92371,"SUI",4
"727",2015,92372,"SUI",0
"728",2015,92373,"SUI",6
"729",2015,92374,"SUI",3
"730",2015,92375,"SUI",0
"731",2015,92376,"SUI",5
"732",2015,92377,"SUI",2
"733",2015,92378,"SUI",2
"734",2015,92382,"SUI",1
"735",2015,92384,"SUI",0
"736",2015,92385,"SUI",0
"737",2015,92386,"SUI",1
"738",2015,92390,"SUI",0
"739",2015,92391,"SUI",1
"740",2015,92392,"SUI",7
"741",2015,92393,"SUI",0
"742",2015,92394,"SUI",1
"743",2015,92395,"SUI",3
"744",2015,92397,"SUI",0
"745",2015,92398,"SUI",1
"746",2015,92399,"SUI",7
"747",2015,92401,"SUI",1
"748",2015,92402,"SUI",0
"749",2015,92403,"SUI",0
"750",2015,92404,"SUI",4
"751",2015,92405,"SUI",1
"752",2015,92406,"SUI",0
"753",2015,92407,"SUI",1
"754",2015,92408,"SUI",3
"755",2015,92410,"SUI",7
"756",2015,92411,"SUI",2
"757",2015,92415,"SUI",0
"758",2015,92427,"SUI",0
"759",2015,92429,"SUI",0
"760",2015,92443,"SUI",0
"761",2015,92460,"SUI",0
"762",2015,92499,"SUI",0
"763",2015,92501,"SUI",2
"764",2015,92502,"SUI",0
"765",2015,92503,"SUI",9
"766",2015,92504,"SUI",7
"767",2015,92505,"SUI",4
"768",2015,92506,"SUI",8
"769",2015,92507,"SUI",5
"770",2015,92508,"SUI",3
"771",2015,92509,"SUI",8
"772",2015,92511,"SUI",0
"773",2015,92518,"SUI",0
"774",2015,92519,"SUI",0
"775",2015,92523,"SUI",0
"776",2015,92524,"SUI",0
"777",2015,92525,"SUI",0
"778",2015,92530,"SUI",7
"779",2015,92531,"SUI",0
"780",2015,92532,"SUI",0
"781",2015,92533,"SUI",0
"782",2015,92536,"SUI",0
"783",2015,92537,"SUI",0
"784",2015,92538,"SUI",0
"785",2015,92539,"SUI",1
"786",2015,92541,"SUI",0
"787",2015,92543,"SUI",4
"788",2015,92544,"SUI",9
"789",2015,92545,"SUI",8
"790",2015,92546,"SUI",0
"791",2015,92548,"SUI",1
"792",2015,92549,"SUI",4
"793",2015,92550,"SUI",0
"794",2015,92551,"SUI",3
