Name,FIPS,"% Male Population, 2017","% Female Population, 2017","Healthcare (Household Average), 2017","% Employment, Blue Collar, 2017","% Employment, White Collar, 2017","% Non-Family Population, 2017","Total Population, Median Age, 2017","% American Indian and Alaska Native Population, 2017","% White Non-Hispanic Population, 2017","% Hispanic Population, 2017","% White Population, 2017","% Black Population, 2017","% Asian Population, 2017","Median Household Income, 2017","% Education, High School, 2017","% Education, < High School, 2017","% Education Attainment, Bachelor's Degree, 2017"
"93602, Auberry, CA",93602,50.3893,49.6107,5075.7337,22.4404,57.784,12.4832,49,10.8456,74.3893,11.4899,81.3154,0.3758,0.9396,76674,20.8086,9.3101,12.8709
"93117, Goleta, CA",93117,50.3868,49.6132,4168.4109,10.231,64.6902,34.6876,23.9,0.9593,48.5475,31.6725,63.3829,2.5354,12.9979,69952,13.5067,13.0979,24.3879
"92276, Thousand Palms, CA",92276,50.3858,49.6142,4604.4522,12.3377,44.9675,17.2369,45.6,1.252,39.5836,52.1619,72.1357,1.4704,1.9945,45332,26.3846,22.8285,9.3194
"92651, Laguna Beach, CA",92651,50.3797,49.6203,5175.1352,5.3329,85.0347,25.7403,48.1,0.2493,78.8931,7.5675,84.3779,0.8515,9.1439,122332,6.1592,2.348,39.2397
"95562, Rio Dell, CA",95562,50.3766,49.6234,4443.7642,18.35,52.3516,21.5125,39.1,3.8265,74.5707,13.4679,81.7114,1.0545,1.0847,56777,36.3116,12.368,11.4437
"95632, Galt, CA",95632,50.3762,49.6238,4866.4937,27.0299,50.3602,7.651,35.1,1.3985,46.2744,41.6857,66.0559,2.4099,4.5669,73060,30.6504,17.5933,10.6126
"92116, San Diego, CA",92116,50.376,49.624,4006.7613,11.4072,67.4087,41.7132,36.5,1.128,50.47,29.9394,64.4542,9.2693,6.1886,62941,16.2791,8.8802,24.2564
"95354, Modesto, CA",95354,50.3758,49.6242,4122.7326,26.6002,49.1425,16.421,33.5,1.4922,41.9372,42.4042,60.7844,3.973,4.9289,40218,29.8535,24.7515,9.7443
"93643, North Fork, CA",93643,50.3727,49.6273,4885.7871,23.3743,52.4605,16.1874,53.1,11.3152,72.0181,12.6997,78.3813,1.1182,1.0117,64490,26.5228,10.268,16.2548
"94551, Livermore, CA",94551,50.372,49.628,5103.5262,16.6461,63.8378,12.5545,36.1,0.8737,53.3479,25.5837,64.1966,2.3689,13.1198,115990,18.0689,9.9007,24.8672
"95050, Santa Clara, CA",95050,50.368,49.632,4399.708,13.298,68.801,23.0829,33.1,0.5413,37.4555,23.959,48.0295,3.3878,29.9036,90420,18.3866,9.8416,26.0982
"92025, Escondido, CA",92025,50.3645,49.6355,4403.1635,22.0838,46.9251,11.0344,32.2,1.528,32.6289,56.1617,56.0975,2.5331,5.0448,54606,17.1569,29.9273,16.4042
"93060, Santa Paula, CA",93060,50.3607,49.6393,4706.9869,23.6643,41.5301,7.8714,32.9,1.5067,18.8476,77.5637,68.3317,0.5449,0.8827,61772,22.6076,31.9388,9.7536
"92311, Barstow, CA",92311,50.3605,49.6395,4231.1915,29.7553,47.8611,14.516,34.4,2.0143,35.8634,44.1096,57.1702,10.617,4.4201,57365,29.835,18.2654,7.9508
"91731, El Monte, CA",91731,50.3604,49.6396,4155.3186,32.8268,39.3317,7.9788,34.8,1.0989,1.9682,65.7456,34.1095,0.9117,30.1413,48428,26.0313,41.0768,10.7024
"91402, Panorama City, CA",91402,50.3587,49.6413,3999.2639,31.9102,35.6438,8.2444,30.8,0.8249,4.5239,73.6599,38.9953,3.0116,14.9537,44220,23.7356,40.1555,13.4583
"90004, Los Angeles, CA",90004,50.3475,49.6525,3823.8417,18.9689,51.7961,20.9197,35.6,0.9077,12.4164,51.7856,35.7206,3.5842,28.8828,45488,18.0477,26.7411,26.0688
"93109, Santa Barbara, CA",93109,50.3474,49.6526,5023.0399,6.3063,77.3892,30.1723,43.1,0.9564,70.4412,17.9374,82.1709,1.6422,6.2438,105824,8.7034,2.5553,31.7647
"91352, Sun Valley, CA",91352,50.3439,49.6561,4524.5266,29.8485,47.3765,7.1802,33.1,0.9791,11.5056,74.26,50.9244,1.6876,7.1967,56287,26.2663,34.3688,11.4167
"96044, Hornbrook, CA",96044,50.3438,49.6562,4556.1224,21.4932,53.6199,21.7723,51.7,4.4309,81.6654,7.2574,85.2559,0.5348,0.5348,43077,27.8218,13.0693,9.901
"91406, Van Nuys, CA",91406,50.3429,49.6571,4269.4514,21.1494,53.3923,14.7419,34.2,0.923,24.0946,56.3876,54.5215,5.2303,8.9063,60405,24.9793,22.3552,16.2865
